proceso,region,region_cod,zona_cod,zona,centro,centro_nombre,anio,mes,semana,dia,ancla,horario,horario_sin_asignar,real,real_real,ancla_real,horario_real,ancla_realreal,horario_realreal,tiene_realreal
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202631,2026-07-31,23.5,24.0,0.0,19.5,24.74,4,4.5,-1.24,-0.74,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202631,2026-08-01,14.0,24.0,0.0,18.0,23.83,-4,6,-9.83,0.17,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202607,202631,2026-08-02,0.0,0.0,0.0,0.0,0,0,0,0,0,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202608,202632,2026-08-03,23.5,25.0,0.0,20.0,24.72,3.5,5,-1.22,0.28,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202608,202632,2026-08-04,23.5,25.0,0.0,20.5,24.4,3,4.5,-0.9,0.6,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202608,202632,2026-08-05,23.5,27.5,0.0,21.5,25.51,2,6,-2.01,1.99,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202608,202632,2026-08-06,23.5,28.5,0.0,20.0,24.48,3.5,8.5,-0.98,4.02,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202608,202632,2026-08-07,23.5,28.0,0.0,20.5,24.12,3,7.5,-0.62,3.88,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202608,202632,2026-08-08,23.5,26.0,0.0,20.0,24.63,3.5,6,-1.13,1.37,1
Repartir NTC/NSD,PURI JEREZ,DR03,40,ANTONIO JORDÁ,4429,AVDA. EUROPA,2026,202608,202632,2026-08-09,0.0,0.0,0.0,0.0,0,0,0,0,0,1
